vehicle_id,cliente_id,modelo,versao,ano_fabricacao,data_venda,concessionaria_id,ultima_visita_paga,ultima_visita_qualquer,tipo_ultimo_servico,qtd_visitas_pagas_2_anos,km_estimado,connected_vehicle_available,sinal_falha_ativo,km_real_odometro,lgpd_consent
VH-0060,CL-0060,Territory,Titanium,2025,2025-03-03,SP003,2026-03-05,2024-01-26,garantia,1,74827,true,false,75196,true
VH-0061,CL-0061,Bronco Sport,Wildtrak,2023,2023-04-19,SP003,2025-01-11,2026-09-17,recall,8,25052,true,false,25028,true
VH-0062,CL-0062,Bronco Sport,Wildtrak,2025,2025-05-18,RJ001,,2026-02-15,pago,0,113885,true,false,113729,true
VH-0063,CL-0063,Ranger,Raptor,2023,2023-11-29,SP003,,2024-01-21,pago,0,51507,true,false,51536,true
VH-0064,CL-0064,Ranger,XL,2017,2017-09-05,RJ001,2025-09-27,2026-07-06,recall,4,67402,false,false,,true
VH-0065,CL-0065,Ranger,Raptor,2017,2017-10-29,MG001,,2026-01-25,recall,0,36890,false,false,,true
VH-0066,CL-0066,Maverick,Lariat,2024,2025-06-27,SP003,,2025-04-17,recall,0,77140,true,false,76763,true
VH-0067,CL-0067,Ranger,XL,2021,2021-05-03,SP003,2026-11-14,2026-12-10,pago,3,33361,false,false,,true
VH-0068,CL-0068,Territory,Titanium,2017,2017-07-18,MG001,,2024-09-16,garantia,0,28519,false,false,,true
VH-0069,CL-0069,Territory,Titanium,2016,2016-02-25,SP001,2026-11-29,2024-01-26,recall,3,118830,false,false,,true
VH-0070,CL-0070,Territory,Titanium,2023,2024-05-05,SP001,2024-01-13,2024-04-19,garantia,1,117947,true,false,117602,true
VH-0071,CL-0071,Ranger,XLS,2025,2025-06-05,MG001,,2025-04-07,pago,0,20525,true,false,20819,true
VH-0072,CL-0072,Bronco Sport,Wildtrak,2023,2024-03-29,SP001,,2025-03-01,recall,0,61207,true,false,61347,true
VH-0073,CL-0073,Ranger,XL,2020,2021-11-07,SP002,,2024-01-06,pago,0,27782,false,false,,true
VH-0074,CL-0074,Bronco Sport,Wildtrak,2023,2024-12-06,SP002,2024-08-19,2025-06-25,pago,1,42762,true,false,43068,true
VH-0075,CL-0075,Ranger,XL,2022,2022-04-28,SP003,2026-08-19,2025-08-14,garantia,3,113348,false,false,,false
VH-0076,CL-0076,Maverick,Lariat,2017,2018-04-25,RJ001,2026-12-04,2024-06-13,garantia,7,70597,false,false,,true
VH-0077,CL-0077,Ranger,Raptor,2022,2022-11-27,SP003,2023-02-22,2024-03-23,pago,2,93381,true,false,93662,true
VH-0078,CL-0078,Ranger,XLS,2023,2024-06-15,SP003,2024-07-23,2026-04-16,recall,3,62132,true,false,61973,false
VH-0079,CL-0079,Territory,SEL,2017,2017-06-14,RJ001,,2024-03-16,recall,0,69942,false,false,,true
VH-0080,CL-0080,Maverick,Lariat,2017,2017-11-19,MG001,,2024-01-03,pago,0,106259,false,false,,true
VH-0081,CL-0081,Maverick,Lariat,2022,2022-02-25,SP002,,2025-06-30,garantia,0,86609,true,false,86671,true
VH-0082,CL-0082,Ranger,XLS,2020,2021-03-24,SP002,2025-09-19,2024-11-20,pago,2,87578,false,false,,true
VH-0083,CL-0083,Territory,Titanium,2024,2024-01-15,SP003,2023-07-10,2026-11-08,pago,4,65482,true,false,65704,false
VH-0084,CL-0084,Territory,Titanium,2022,2023-05-10,SP002,2024-05-14,2024-05-22,recall,8,23958,true,true,23740,true
VH-0085,CL-0085,Bronco Sport,Wildtrak,2021,2022-06-04,MG001,,2026-09-29,pago,0,42072,false,false,,true
VH-0086,CL-0086,Ranger,XLS,2023,2024-07-05,RJ001,2024-11-11,2025-04-23,garantia,7,47176,true,true,47552,true
VH-0087,CL-0087,Bronco Sport,Wildtrak,2016,2016-11-21,SP002,2026-12-15,2026-10-11,garantia,7,91991,false,false,,true
VH-0088,CL-0088,Ranger,Raptor,2018,2019-05-30,RJ001,2024-11-10,2024-02-01,garantia,2,18069,false,false,,true
VH-0089,CL-0089,Ranger,XLS,2022,2023-11-02,SP003,2023-06-03,2026-12-28,garantia,8,49375,true,false,49264,false
VH-0090,CL-0090,Territory,SEL,2023,2024-07-08,SP001,,2026-06-07,pago,0,35771,true,true,35371,true
VH-0091,CL-0091,Ranger,Limited,2023,2023-06-20,RJ001,2023-03-01,2024-10-25,garantia,1,109352,false,false,,true
VH-0092,CL-0092,Ranger,XL,2024,2025-02-25,RJ001,2024-01-04,2024-10-20,pago,3,15350,true,false,15087,true
VH-0093,CL-0093,Maverick,Lariat,2020,2021-04-15,SP003,,2024-11-19,pago,0,110464,false,false,,true
VH-0094,CL-0094,Ranger,Limited,2023,2023-12-20,RJ001,2024-09-04,2024-08-06,recall,7,37780,true,false,37522,true
VH-0095,CL-0095,Bronco Sport,Wildtrak,2025,2025-07-03,SP001,2026-12-03,2026-10-14,pago,5,113794,true,false,114146,true
VH-0096,CL-0096,Territory,Titanium,2019,2020-09-13,SP002,2024-03-24,2024-07-17,recall,4,37850,false,false,,true
VH-0097,CL-0097,Ranger,Raptor,2020,2021-03-27,SP003,,2025-10-31,garantia,0,100991,false,false,,false
VH-0098,CL-0098,Bronco Sport,Wildtrak,2018,2018-07-25,MG001,,2026-10-24,recall,0,119879,false,false,,true
VH-0099,CL-0099,Territory,Titanium,2018,2018-09-21,SP001,2025-09-13,2026-08-17,recall,5,119084,false,false,,true
VH-0100,CL-0100,Ranger,Limited,2018,2018-08-20,RJ001,2026-10-13,2024-01-29,recall,7,52942,false,false,,false
