marca,modelo,versao,mercado,campo,valor,unidade,fonte_url,extraido_em
Toyota,Hilux,GR-Sport,BR,tanque,80,litros,https://www.toyota.com.br/hilux/,2026-03-29
Toyota,Hilux,GR-Sport,BR,preco_sugerido,369990,BRL,https://www.toyota.com.br/hilux/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,potencia,190,cv,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,torque,43.9,kgfm,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,motor,2.4 Turbo Diesel,,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,transmissao,Automatica 6 velocidades,,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,tracao,4x4,,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,suspensao,Independente dianteira / Rigida traseira,,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,capacidade_carga,715,kg,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,entre_eixos,3000,mm,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,comprimento,5305,mm,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,tanque,75,litros,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Mitsubishi,L200 Triton,Savana,BR,preco_sugerido,279990,BRL,https://www.mitsubishi.com.br/l200 triton/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,potencia,258,cv,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,torque,59.1,kgfm,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,motor,V6 3.0 Turbo Diesel,,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,transmissao,Automatica 10 velocidades,,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,tracao,4x4 permanente,,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,suspensao,Independente nas 4 rodas,,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,capacidade_carga,710,kg,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,entre_eixos,3270,mm,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,comprimento,5350,mm,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,tanque,80,litros,https://www.volkswagen.com.br/amarok/,2026-03-29
Volkswagen,Amarok,Highline V6,BR,preco_sugerido,339990,BRL,https://www.volkswagen.com.br/amarok/,2026-03-29
